"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Austria","AUT","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","112653846.045525","142730445.53002","145403026.766641","160757773.251651","177044820.1327","79114404.478886","91232469.7318557","96814163.8636379","142389695.807051","187429359.737233","239303891.692981","327520086.763852","207917636.286849","216121460.703876","115236829.380443","173105865.816739","186540951.319351","409526123.844839","435699356.970644","587351065.575861","653220243.884956","360071602.901055","1442437728.72659","1129076308.08215","2116581764.51514","1900496647.92004","4414662673.39958","2623778926.45191","4643266783.40322","3008319638.96604","8525406379.1313","5905880644.78423","318132393.328332","7098252089.87043","3892054627.31739","81287916302.2176","4830703493","68110676603","5121819353.67709","14642970581.9643","-25304172425.6518","23675873460.8137","4143622141.40523","",
"Azerbaijan","AZE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330050000","627277000","1114838000","1022967000","510317000","129937000","226513000","1392435000","3284998000","3556099000","4476396000","4485966000","4594234000","3986807000","2900030000","3352997000","4485120000","5293250000","",
"Burundi","BDI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","538566.543006106","1524028.63247119","1367714.12346925","1196623.81138929","567226.890756303","1255434.74294","892500.106741911","600088.333002618","473679.874783755","3957.84890911789","1981922.46479085","100","100","2000000","238660.308306532","11683518.1913211","9634.45280322433","10.744","4618.42567105725","44509.0380597693","584701.692574563","31593.77819","500245.0931","3833208.348","348404.534569828","780582.0036","3354999.1805922","604919.651526489","",
"Belgium","BEL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18080576795.9181","34543942055.3342","44415185590.2333","33683830158.1205","58827696333","96587921127","184841561731.941","65834501655.687","78185288728.2772","117161100157.183","-1917113506.65421","",
"Benin","BEN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","6700000","2800000","4800000","3500000","-2343120.32888629","1889760.24940719","2452390.82596359","3126021.57196209","753359.561873314","3568043.12335903","4316555.84568938","2090299.06059477","-12172.6229100822","10496.868316392","11442.7822973772","-90000","1100000","100000","-1.86264514923096E-09","62096190.0734222","62376777.1352232","120780806.62353","77571726.5958986","1403787.18368037","13648839.8950778","13329502.1175034","35517375.9810328","27015294.5261156","37952254.6845812","39264307.4264209","59736541.1284246","43858541.7954447","13508119.5796617","44731565.6578879","63844349.4984681","-8785364.69529622","-12352499.85","139006086.8","48016408.32","-18732013.5573172","53454932.99","161091309.01743","158589230.6156","",
"Burkina Faso","BFA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","400000","1000000","-700000","4400000","2667168.88500886","298628.780153235","2050633.96710266","4969885.85854911","1156628.50381726","1494911.34812671","23665.328101367","2432548.73072736","1947619.66561316","1981283.89471898","1672934.77187655","-1426781.3134008","3138843.40071308","1330952.86910766","3709943.28715491","5673833.5739401","460000","570000","3113052.1512","3178381.3563","18371592.4749","9816727.704","16225134.4927","9765809.0459","4407138.2079","7925950.8299","23219874.8662179","9164593.58574799","16063399.5553789","30831022.5795712","3829373.7854423","52109308.1603176","83774772.55","21683121.76","33056780.41","56426881.7661007","38832813.08","42302263.7783","40091169.2535","",
"Bangladesh","BGD","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","90000","2340000","2200000","1543333.3333","5420000","6980000","7700000","-8010000","8510000","5360000","6960000","403978.557545405","-553269.398283549","-6660000","2436499.3440436","3205086.7621919","1838242.49913628","247908.273938643","3238781.18895631","1390444.32247979","3721853.382288","14049886.5245761","11147788.327757","1896372.12711773","13529831.5362586","139376153.115317","190059372.97475","179662970.340192","280384629.677983","78527040.0772574","52339473.3533021","268285231.831689","448905400.707685","813321971.875196","697206284.1","652818718.9","1009623164","732809635.638001","918172637.9","1137916360.99161","1178439622.04103","",
"Bulgaria","BGR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","55900000","41500000","40000000","105400000","90400000","109000000","504800000","537317256.150851","818788154.863275","1001503841.99968","812942201.973002","904659791.087722","2096788700.05598","2662208755.84264","4098122930.77934","7874476255","13875270457","10296720634","3896664559.17164","1866586151","2124233096.40491","2094803207.31178","",
"Bahrain","BHR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","3400000","110000","1320000","3210000","650000","22970508.3355514","145171539.850449","-418036875.019955","4150000","28457446.8841953","64095744.8513185","140691489.51761","101329787.234043","-31914893.6170213","-35904255.3191489","222074468.085106","180851063.829787","-182712765.957447","619414893.617021","868617021.276596","-275000007.923316","208244700.235544","430586743.724591","2048151879.61006","329284164.223769","179454413.27302","453737837.974614","363562321.906708","80358858.3697633","216986881.649309","516700276.442676","865308118.622994","1048601306.14142","2914659868","1756312515","1793998354.54447","257149561.420298","155771009.169721","780851063.829787","891223404.255319","",
"Bahamas, The","BHS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","14600000.0146","31400000.0314","-1100000.0011","9600000.0096","4100000.0041","34400000.0344","2800000.0028","-6000000.006","-4900000.00673333","-30200000","-13200000","10800000","36700000","25400000","-17300000","-1300000","300000","27100000","23400000","106800000","87800000","210000000","146900000","149300000","250250000","102370000","152790000","190200000","273600000","563414700","706380000","713350000","860156197.03","663960000","871970000","594982000","360217300","",
