List Date,Company,Group,Sector,Sub Sector,Country of Incorporation,Market,Ord Shares,Dep Receipts,Fixed Int,Warrants,MarketCapInMillions,International Main Market,FCA Listing Category,
4-Jul-14,SOCIETATEA COMERCIALA DE DIS SI FUR,7535,Electricity,Electricity,RO,Main Market,NO,YES,NO,NO,358.663949486345,Y,Standard,
12-Nov-13,SOCIETATEA NATL DE GAZE N ROMGAZ SA,533,Oil & Gas Producers,Exploration & Production,RO,Main Market,NO,YES,NO,NO,227.594470978873,Y,Standard,
29-May-97,SOCO INTERNATIONAL                 ,533,Oil & Gas Producers,Exploration & Production,GB,Main Market,YES,NO,NO,NO,1090.068274395,N,Premium,
2-Nov-05,SOFTWARE RADIO TECHNOLOGY          ,9576,Technology Hardware & Equipment,Semiconductors,GB,AIM,YES,NO,NO,NO,33.4807599,N,,
10-Feb-06,SOLGOLD PLC                        ,1777,Mining,Gold Mining,GB,AIM,YES,NO,NO,NO,27.7058862125,N,,
26-Jun-96,SOLID STATE PLC                    ,2733,Electronic & Electrical Equipment,Electrical Components & Equipment,GB,AIM,YES,NO,NO,NO,51.3271836,N,,
4-Dec-96,SOLIDERE                           ,8733,Real Estate,Real Estate Holding & Development,LB,Main Market,NO,YES,NO,NO,68.604593397297,Y,Standard,
12-Apr-07,SOLO OIL PLC                       ,533,Oil & Gas Producers,Exploration & Production,GB,AIM,YES,NO,NO,NO,40.1273690574,N,,
1-Nov-06,SOMERO ENTERPRISE INC              ,2753,Industrial Engineering,Commercial Vehicles & Trucks,US,AIM,YES,NO,NO,NO,64.9129253,N,,
21-May-04,SONGBIRD ESTATES                   ,8633,Real Estate Investment & Services,Real Estate Holding & Development,GB,AIM,YES,NO,NO,NO,1970.5818615,N,,
10-Sep-96,SOPHEON                            ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,3.6395,N,,
30-Sep-08,SORBIC INTL PLC                    ,3577,Food Producers,Food Products,GB,AIM,YES,NO,NO,NO,2.864156475,N,,
13-Jul-06,SOUND OIL PLC                      ,533,Oil & Gas Producers,Exploration & Production,GB,AIM,YES,NO,NO,NO,49.8360978,N,,
6-Nov-89,SOURCE BIOSCIENCE PLC              ,4573,Pharmaceuticals & Biotechnology,Biotechnology,GB,Main Market,YES,NO,NO,NO,32.83205499,N,Premium,
7-Sep-09,SOURCE MARKETS PLC                 ,8995,Nonequity Investment Instruments,Nonequity Investment Instruments,IE,Main Market,YES,NO,NO,NO,0,Y,,
26-Oct-06,SOUTH AFRICAN PROPERTY OPPS PLC    ,8633,Real Estate Investment & Services,Real Estate Holding & Development,IM,AIM,YES,NO,NO,NO,13.237222125,N,,
12-Sep-86,SOUTH EAST WATER                   ,6,Debentures & Loans,Debentures & Loans,GB,Main Market,NO,NO,YES,NO,0,N,Standard,
28-Jun-02,SOUTH STAFFORDSHIRE WATER          ,6,Debentures & Loans,Debentures & Loans,GB,Main Market,NO,NO,YES,NO,0,N,Standard,
28-Jul-11,SOVEREIGN MINES OF AFRICA PLC      ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,1.884345281,N,,
31-Dec-04,SPACEANDPEOPLE                     ,5555,Media,Media Agencies,GB,AIM,YES,NO,NO,NO,8.5860918,N,,
28-Oct-99,SPARK VENTURES PLC                 ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,AIM,YES,NO,NO,NO,16.888619655,N,,
25-Jul-11,SPECTRA SYSTEMS CORP               ,2791,Support Services,Business Support Services,US,AIM,YES,NO,NO,NO,9.652712845,N,,
29-Nov-88,SPECTRIS                           ,2733,Electronic & Electrical Equipment,Electrical Components & Equipment,GB,Main Market,YES,NO,NO,NO,2113.5535464,N,Premium,
18-Oct-93,SPEEDY HIRE                        ,2791,Support Services,Business Support Services,GB,Main Market,YES,NO,NO,NO,321.0273262,N,Premium,
19-Sep-07,SPEYMILL PLC                       ,8771,General Financial,Asset Managers,IM,AIM,YES,NO,NO,NO,0,N,,
17-Nov-11,SPHERE MEDICAL HLDG PLC            ,4535,Health Care Equipment & Services,Medical Equipment,GB,AIM,YES,NO,NO,NO,17.52456055,N,,
3-Jun-13,SPIRAX-SARCO ENGINEERING           ,2757,Industrial Engineering,Industrial Machinery,GB,Main Market,YES,NO,NO,NO,2147.815917,N,Premium,
23-Jul-14,SPIRE HEALTHCARE GROUP PLC         ,4533,Health Care Equipment & Services,Health Care Providers,GB,Main Market,YES,NO,NO,NO,1123.0278948,N,Premium,
13-Jul-55,SPIRENT COMMUNICATIONS             ,9578,Technology Hardware & Equipment,Telecommunications Equipment,GB,Main Market,YES,NO,NO,NO,460.240054288,N,Premium,
1-Aug-11,SPIRIT PUB CO PLC                  ,5757,Travel & Leisure,Restaurants & Bars,GB,Main Market,YES,NO,NO,NO,700.8844543125,N,Premium,
18-Jul-07,SPITFIRE OIL LTD                   ,533,Oil & Gas Producers,Exploration & Production,BM,AIM,YES,NO,NO,NO,1.65010506375,N,,
3-Dec-07,SPORTECH                           ,5752,Travel & Leisure,Gambling,GB,Main Market,YES,NO,NO,NO,116.30402667,N,Premium,
2-Mar-07,SPORTS DIRECT INTL PLC             ,5371,General Retailers,Apparel Retailers,GB,Main Market,YES,NO,NO,NO,3857.106029145,N,Premium,
29-Nov-96,SPORTSWORLD MEDIA GROUP            ,5555,Media,Media Agencies,GB,Main Market,YES,NO,NO,NO,0,N,,
30-Apr-14,SPRUE AEGIS                        ,2733,Electronic & Electrical Equipment,Electrical Components & Equipment,GB,AIM,YES,NO,NO,NO,130.802791125,N,,
14-Jul-14,SQN ASSET FINANCE INCOME FUND LTD  ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,Main Market,YES,NO,NO,NO,161.8125,N,Premium,
20-Sep-05,SQS SOFTWARE QUALITY SYSTEMS AG    ,9533,Software & Computer Services,Computer Services,DE,AIM,YES,NO,NO,NO,177.2635382,N,,
21-Apr-05,SREI INFRASTRUCTURE FINANCE        ,8775,General Financial,Specialty Finance,IN,PSM,NO,YES,NO,NO,0,N,Standard,
18-Jun-91,SSE PLC                            ,7535,Electricity,Electricity,GB,Main Market,YES,NO,NO,NO,16039.0307766,N,Premium,
15-Jul-14,SSP GROUP PLC                      ,5337,Food & Drug Retailers,Food Retailers & Wholesalers,GB,Main Market,YES,NO,NO,NO,1137.62488983,N,Premium,
3-Oct-85,ST IVES PLC                        ,2791,Support Services,Business Support Services,GB,Main Market,YES,NO,NO,NO,236.0578561,N,Premium,
27-Aug-96,ST JAMES'S PLACE                   ,8575,Life Insurance,Life Insurance,GB,Main Market,YES,NO,NO,NO,3725.95779435,N,Premium,
14-Feb-98,ST LAWRENCE & OTTAWA RAILWAY CO    ,6,Debentures & Loans,Debentures & Loans,CA,Main Market,NO,NO,YES,NO,0,Y,Standard,
16-Apr-07,ST PETER PORT CAPITAL LTD          ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,AIM,YES,NO,NO,NO,32.06350834,N,,
28-Apr-86,ST.MODWEN PROPERTIES               ,8633,Real Estate Investment & Services,Real Estate Holding & Development,GB,Main Market,YES,NO,NO,NO,802.712958488,N,Premium,
23-Jul-01,STADIUM GROUP PLC                  ,2733,Electronic & Electrical Equipment,Electrical Components & Equipment,GB,AIM,YES,NO,NO,NO,29.55968525,N,,
8-Dec-04,STAFFLINE GROUP PLC                ,2793,Support Services,Business Training & Employment Agencies,GB,AIM,YES,NO,NO,NO,221.417596785,N,,
19-Oct-98,STAGECOACH GROUP                   ,5759,Travel & Leisure,Travel & Tourism,GB,Main Market,YES,NO,NO,NO,2223.05335317,N,Premium,
15-Feb-12,STALLION RESOURCES PLC             ,5553,Media,Broadcasting & Entertainment,GB,AIM,YES,NO,NO,NO,0.8171670499,N,,
2-Feb-70,STANDARD CHARTERED                 ,8355,Banks,Banks,GB,Main Market,YES,NO,YES,NO,22885.875902892,N,Premium,
14-Nov-91,STANDARD LIFE EQUITY INCOME TST    ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,163.8430573,N,Premium,
29-May-01,STANDARD LIFE EUROPN PRIVT EQTY TST,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,348.42307386,N,Premium,
19-Dec-03,STANDARD LIFE INVEST PROP INC TRUST,8633,Real Estate Investment & Services,Real Estate Holding & Development,GB,Main Market,YES,NO,NO,NO,154.93583258,N,Premium,
10-Jul-06,STANDARD LIFE PLC                  ,8575,Life Insurance,Life Insurance,GB,Main Market,YES,NO,NO,NO,9411.018177926,N,Premium,
19-Aug-93,STANDARD LIFE UK SMALLER CO TRUST  ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,YES,NO,186.018985425,N,Premium,
19-Sep-00,STANLEY GIBBONS GROUP PLC          ,5379,General Retailers,Specialty Retailers,JE,AIM,YES,NO,NO,NO,121.407295955,N,,
27-Feb-13,STARCOM PLC                        ,9537,Software & Computer Services,Software,JE,AIM,YES,NO,NO,NO,5.06599998,N,,
5-Sep-00,STARVEST                           ,8775,General Financial,Specialty Finance,GB,AIM,YES,NO,NO,NO,2.019449245,N,,
17-Dec-12,STARWOOD EUROPEAN REAL EST FIN LTD ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,Main Market,YES,NO,NO,NO,753.900625,N,Premium,
11-Oct-96,STATE BANK OF INDIA                ,8355,Banks,Banks,IN,PSM,NO,YES,NO,NO,0,N,Standard,
16-Jun-03,STATPRO GROUP                      ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,48.89157125,N,,
15-Mar-96,STEEL AUTHORITY OF INDIA           ,1757,Industrial Metals,Steel,IN,PSM,NO,YES,NO,NO,180.982445392869,N,Standard,
22-Feb-10,STELLAR DIAMONDS PLC               ,1773,Mining,Diamonds & Gemstones,GB,AIM,YES,NO,NO,NO,9.0312929885,N,,
