"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bosnia and Herzegovina","BIH","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2555319693.15569","3381442075.38502","1967903911.45499","2559701956.33063","2298742372.35444","2896435919.38212","3653344010.26185","3306237628.2597","",
"Belarus","BLR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15194000000","18895800000","23309600000","31627400000","20595400000","24506100000","40927600000","45574300000","",
"Belize","BLZ","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308048780.4425","408927959.72565","416264480.002669","479973484.787379","383955784.512725","475729501.242995","603581171.107499","628243644.296","",
"Bermuda","BMU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25450000","25315598.6956322","23523951.86375","28668980.4097436","14684082.319868","13488762.7591298","11139986.9269742","",
"Bolivia","BOL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2622226566.01205","3661955400.5637","4262826733.6449","6271446254.13459","4709830000","6129300487.30459","8174835184.80449","11109787176.466","",
"Brazil","BRA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118029342113","137808173531","160649072830","197942442909","152994742300","201915285335","256039574768","242579775763","",
"Barbados","BRB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361480290","510075016","525464919","489419743.454999","380205856.5","430637314.23","","","",
"Brunei Darussalam","BRN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6240958254.77904","7626932017.95549","7691599164.02488","10697696963.4099","7171881680.89865","","","","",
"Bhutan","BTN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312020438.063881","571025262.467501","596955894.5469","513673698.845624","539887517.945417","662209960.991809","591615700.482908","",
"Botswana","BWA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4443887546.02719","4520745964.34665","5163035551.23651","4799776940.08854","3433225202.31442","4632684351.74948","6432179748.63185","6010830611.92457","",
"Sub-Saharan Africa (IFC classification)","CAA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370464653389.896","398503998951.723","430471915352.866","460255621183.073","322670010420.343","392338063507.593","461507297275.182","462882515584.724","",
"East Asia and the Pacific (IFC classification)","CEA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156024132131.635","174241552111.797","209423715090.937","254445887956.079","219355101157.984","277431594030.682","345595750812.979","332130507438.223","",
