Country Code,Import Partner,value
GNQ,ESP,17.1
GNQ,USA,13.1
GNQ,FRA,12.4
GNQ,CHN,12.3
GNQ,ITA,6.7
GNQ,CIV,6
EST,FIN,13.4
EST,LVA,11.6
EST,SWE,11.3
EST,DEU,10.9
EST,LTU,8.7
EST,POL,7.2
EST,CHN,4.7
SLV,USA,39
SLV,GTM,9.8
SLV,MEX,7.7
SLV,CHN,5.2
ETH,SAU,10
ETH,CHN,9.9
ETH,USA,7.6
ETH,IND,4.6
CZE,DEU,29.6
CZE,CHN,7.6
CZE,POL,7.1
CZE,SVK,7
CZE,NLD,5.7
CZE,RUS,4.8
CZE,AUT,4.4
FIN,RUS,17.6
FIN,SWE,13.6
FIN,DEU,13.6
FIN,NLD,7.6
FIN,CHN,4.2
FJI,SGP,34.1
FJI,AUS,16.3
FJI,NZL,14.1
FJI,CHN,8.9
FRO,DNK,49.6
FRO,NOR,29
FRO,ISL,4.1
FRA,DEU,19.1
FRA,BEL,11.3
FRA,ITA,7.7
FRA,NLD,7.5
FRA,ESP,6.6
FRA,GBR,5.1
FRA,CHN,4.8
GAB,FRA,32.6
GAB,CHN,8.3
GAB,USA,6.3
GAB,BEL,5.7
GAB,CMR,4.3
GEO,TUR,17.8
GEO,UKR,10
GEO,AZE,8.3
GEO,CHN,7.6
GEO,DEU,6.8
GEO,RUS,5.6
GHA,CHN,20.4
GHA,NGA,12.4
GHA,USA,7.8
GHA,IND,5.6
GHA,NLD,5.1
GHA,GBR,4.2
GRD,TTO,43.2
GRD,USA,19
GRL,DNK,58.1
GRL,SWE,19.7
GRL,GBR,10.3
GRC,DEU,10.6
GRC,RUS,9.4
GRC,ITA,9.2
GRC,CHN,5.7
GRC,NLD,5.5
GRC,FRA,5
GRC,IRN,4.5
GTM,USA,40.4
GTM,MEX,11.6
GTM,CHN,8.2
GTM,SLV,4.5
GIN,CHN,13.2
GIN,NLD,8.1
GIN,USA,5.4
GUY,USA,21.3
GUY,TTO,20
GUY,CHN,8.3
GUY,ZAF,7.5
GUY,CUB,5.5
HTI,DOM,31.5
HTI,USA,25
HTI,CHN,7.1
HKG,CHN,44.9
HKG,JPN,8.9
HKG,USA,4.9
HND,USA,46
HND,GTM,8.8
HND,MEX,5.7
HND,SLV,5.4
HND,CHN,4.1
HND,CRI,4
HRV,ITA,16.3
HRV,DEU,12.6
HRV,RUS,7.2
HRV,CHN,7.1
HRV,SVN,6.2
HRV,AUT,4.5
HUN,DEU,24.7
HUN,RUS,8.6
HUN,CHN,8.4
HUN,AUT,6.2
HUN,SVK,4.9
HUN,POL,4.7
HUN,NLD,4.4
HUN,ITA,4.3
ISL,NOR,15.9
ISL,USA,10.8
ISL,DEU,7.8
ISL,NLD,7.3
ISL,CHN,6.2
ISL,DNK,6.2
ISL,BRA,5.8
ISL,GBR,5.1
IDN,CHN,14.8
IDN,SGP,14.6
IDN,JPN,11
IDN,KOR,7.3
IDN,USA,6.1
IDN,THA,5.9
IDN,MYS,5.9
IND,CHN,11.9
IND,UAE,7.7
IND,CHE,6.8
IND,SAU,6.1
IND,USA,4.9
IRN,UAE,30.9
IRN,CHN,17.4
IRN,KOR,7.1
IRN,DEU,4.8
IRN,TUR,4.2
ISR,USA,11.8
ISR,CHN,7.4
ISR,DEU,6.2
ISR,BEL,6.1
ISR,CHE,5.4
ISR,ITA,4.2
ITA,DEU,16.5
ITA,FRA,8.8
ITA,CHN,7.7
ITA,NLD,5.5
ITA,ESP,4.7
CIV,NGA,35.1
CIV,FRA,10
CIV,CHN,5.6
CIV,COL,4.8
IRQ,TUR,25.3
IRQ,SYR,18.3
IRQ,CHN,11.7
IRQ,USA,7.4
IRQ,KOR,4.7
JPN,CHN,21.5
JPN,USA,8.9
JPN,AUS,6.6
JPN,SAU,5.9
JPN,UAE,5
JPN,KOR,4.7
JAM,USA,32.8
JAM,VEN,15
JAM,TTO,14.2
JAM,CHN,6.3
JAM,MEX,4.1
JOR,SAU,22.1
JOR,CHN,9.8
JOR,USA,6.4
JOR,ITA,5.1
JOR,DEU,4.5
KEN,CHN,15.3
KEN,IND,13.8
KEN,UAE,10.5
KEN,SAU,7.3
KEN,ZAF,5.5
KEN,JPN,4
KGZ,CHN,59.7
KGZ,RUS,13.9
KGZ,KAZ,5.2
KNA,CHN,61.6
KNA,KOR,20
KWT,USA,12.4
KWT,CHN,9.7
KWT,SAU,8.4
KWT,KOR,6.5
KWT,IND,6.4
KWT,JPN,6.2
KWT,DEU,5
KWT,UAE,4.3
KAZ,CHN,30.1
KAZ,RUS,20
KAZ,DEU,7.4
KAZ,UKR,5
LAO,THA,65.2
LAO,CHN,11.1
LBN,USA,10.2
LBN,ITA,9.3
LBN,FRA,8.8
LBN,CHN,8.2
LBN,EGY,5.3
LBN,DEU,5.1
LBN,TUR,4
LVA,LTU,16.6
LVA,DEU,11
LVA,RUS,7.7
LVA,POL,7.2
LVA,EST,6.8
LVA,ITA,4.2
LVA,FIN,4.1
LTU,RUS,32.1
LTU,DEU,9.6
LTU,POL,9
LTU,LVA,6.5
LTU,NLD,4.8
LBR,KOR,41.8
LBR,CHN,28.3
LBR,JPN,18.6
SVK,DEU,19.3
SVK,CZE,18.5
SVK,RUS,11.4
SVK,HUN,7
SVK,POL,5.5
SVK,AUT,4.6
SVK,ITA,4.1
SVK,CHN,4
LUX,BEL,30.3
LUX,DEU,26
LUX,FRA,10.8
LUX,CHN,6.9
LUX,NLD,5.8
LUX,USA,5.2
LBY,TUN,13.3
LBY,TUR,9.1
LBY,CHN,8.8
LBY,ITA,8.4
LBY,EGY,6.7
LBY,SYR,5.2
LBY,FRA,4.9
LBY,DEU,4.8
MDG,CHN,17.4
MDG,FRA,13.3
MDG,ZAF,5.7
MDG,SGP,4.9
MDG,BHR,4.8
MDG,MUS,4.6
MDG,KWT,4.5
MDG,IND,4.1
MCO,CHN,30.4
MCO,HKG,12
MCO,FRA,10.4
MCO,CHE,7.5
MCO,ITA,7.5
MCO,JPN,6.2
MCO,USA,6.1
MDA,ROU,17.9
MDA,UKR,15.3
MDA,DEU,10.5
MDA,RUS,9.1
MDA,ITA,6.5
MDA,BLR,5.5
MDA,TUR,4.8
MDA,POL,4.3
MNG,CHN,43.4
MNG,RUS,23.3
MNG,KOR,5.6
MNG,JPN,5.1
MNG,USA,5
MWI,ZAF,31
MWI,IND,10.6
MWI,ZMB,9.4
MWI,CHN,8.7
MWI,USA,5.1
MNE,SRB,28.4
MNE,GRC,7.9
MNE,BIH,7.6
MKD,GRC,14.2
MKD,DEU,13.2
MKD,BGR,11.1
MKD,GBR,8
MKD,TUR,5.4
MKD,ITA,5.4
MLI,SEN,14.9
MLI,FRA,11.6
MLI,CHN,8.2
MLI,CIV,6.3
MAR,FRA,13.6
MAR,ESP,11.2
MAR,USA,8.6
MAR,SAU,6.8
MAR,CHN,6.5
MAR,ITA,5.1
MAR,RUS,4.7
MAR,DEU,4.4
MUS,IND,25.2
MUS,CHN,13.6
MUS,FRA,9.1
MUS,ZAF,6.9
MRT,CHN,12.5
MRT,NLD,9
MRT,FRA,8.7
MRT,USA,7.8
MRT,ESP,6.5
MRT,DEU,5.4
MRT,BRA,5.2
MRT,BEL,4.3
MRT,MYS,4.1
MLT,ITA,32
MLT,FRA,8.4
MLT,GBR,8
MLT,DEU,6.9
OMN,UAE,27.7
OMN,JPN,11.9
OMN,USA,6.1
OMN,IND,5.4
OMN,CHN,4.2
OMN,SAU,4.1
OMN,DEU,4
MDV,SGP,23.2
MDV,UAE,18
MDV,IND,8.7
MDV,CHN,7.1
MDV,MYS,6.9
MDV,LKA,5.3
MDV,THA,4.9
MEX,USA,49.7
MEX,CHN,14.9
MEX,JPN,4.7
MYS,CHN,13.2
MYS,SGP,12.8
MYS,JPN,11.4
MYS,USA,9.7
MYS,IDN,6.1
MYS,THA,6
MYS,KOR,4
MOZ,ZAF,35.4
MOZ,CHN,10.2
