Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18080576796,34543942055,44415185590,33683830158,58827696333,96587921127,1.85E+11,65834501656,78185288728,1.17E+11,-1917113507,
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,6700000,2800000,4800000,3500000,-2343120.329,1889760.249,2452390.826,3126021.572,753359.5619,3568043.123,4316555.846,2090299.061,-12172.62291,10496.86832,11442.7823,-90000,1100000,100000,-1.86E-09,62096190.07,62376777.14,120780806.6,77571726.6,1403787.184,13648839.9,13329502.12,35517375.98,27015294.53,37952254.68,39264307.43,59736541.13,43858541.8,13508119.58,44731565.66,63844349.5,-8785364.695,-12352499.85,139006086.8,48016408.32,-18732013.56,53454932.99,161091309,158589230.6,
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,400000,1000000,-700000,4400000,2667168.885,298628.7802,2050633.967,4969885.859,1156628.504,1494911.348,23665.3281,2432548.731,1947619.666,1981283.895,1672934.772,-1426781.313,3138843.401,1330952.869,3709943.287,5673833.574,460000,570000,3113052.151,3178381.356,18371592.47,9816727.704,16225134.49,9765809.046,4407138.208,7925950.83,23219874.87,9164593.586,16063399.56,30831022.58,3829373.785,52109308.16,83774772.55,21683121.76,33056780.41,56426881.77,38832813.08,42302263.78,40091169.25,
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,90000,2340000,2200000,1543333.333,5420000,6980000,7700000,-8010000,8510000,5360000,6960000,403978.5575,-553269.3983,-6660000,2436499.344,3205086.762,1838242.499,247908.2739,3238781.189,1390444.322,3721853.382,14049886.52,11147788.33,1896372.127,13529831.54,139376153.1,190059373,179662970.3,280384629.7,78527040.08,52339473.35,268285231.8,448905400.7,813321971.9,697206284.1,652818718.9,1009623164,732809635.6,918172637.9,1137916361,1178439622,
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,55900000,41500000,40000000,105400000,90400000,109000000,504800000,537317256.2,818788154.9,1001503842,812942202,904659791.1,2096788700,2662208756,4098122931,7874476255,13875270457,10296720634,3896664559,1866586151,2124233096,2094803207,
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,3400000,110000,1320000,3210000,650000,22970508.34,145171539.9,-418036875,4150000,28457446.88,64095744.85,140691489.5,101329787.2,-31914893.62,-35904255.32,222074468.1,180851063.8,-182712766,619414893.6,868617021.3,-275000007.9,208244700.2,430586743.7,2048151880,329284164.2,179454413.3,453737838,363562321.9,80358858.37,216986881.6,516700276.4,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2,780851063.8,891223404.3,
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,14600000.01,31400000.03,-1100000.001,9600000.01,4100000.004,34400000.03,2800000.003,-6000000.006,-4900000.007,-30200000,-13200000,10800000,36700000,25400000,-17300000,-1300000,300000,27100000,23400000,106800000,87800000,210000000,146900000,149300000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197,663960000,871970000,594982000,360217300,
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66736468.36,176780594.8,146075610.9,118495219.8,267769569,381784637.4,709849622.1,623812851.6,845962876.4,1804047024,1004852660,138511019.7,443840207.1,468733718.6,349607722.8,
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000,17600000,10500000,14700000,104500000,351600000,203200000,444000000,118800000,95800000,247100000,171800000,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,7090000,3340000,,,,,,,2000000,-50000,,-2000000,,,-3700000,3700000,4600000,6850000,14000000,18650000,17200000,13600000,15600000,9200000,15369500,21050000,16580000,11955000,17650000,53579000,23340762.43,61162972.87,25386719.66,-10924755.75,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08,95348525.19,194201408.8,
Bermuda,BMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34700000,102700000,60500000,66900000,41800000,5400000,12900000,831600000,43700000,-88170000,617153591.8,171529641.6,-70747817.17,222710475.9,111156880.6,132761095.1,
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,19764000,1900000,16205000,4600000,44233000,61597000,-8100000,-1200000,11500000,67000000,91000000,148900000,61200000,13000000,13000000,19000000,20000000,67800000,-10100000,-24400000,27200000,52000000,93100000,123800000,130200000,392700000,474100000,730600000,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5,858941070.4,1059965391,
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,1302000000,1555000000,1833000000,2006000000,2419000000,1911000000,2520000000,2910000000,1609000000,1594000000,1441000000,345000000,1169000000,2804000000,1131000000,989000000,1103000000,2061000000,1292000000,3072000000,4859000000,11200000000,19650000000,31913000000,28576000000,32779239700,22457353372,16590204193,10143524671,18165693855,15459981604,19378093068,44579492464,50716402711,31480932200,53344632547,71538657409,76110663189,
Barbados,BRB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,8649999.996,16102275.56,17280140.18,5614477.691,2386482.677,22933659.93,6900000,4900000,9000000,5350000,2800000,8400000,4650000,3650000,50000,4850000,7750000,7100000,11550000,8350000,11200000,7400000,14450000,9400000,12950000,11750000,13300000,14800000,15750000,17350000,19400000,18550000,17400000,58250000,-12100000,238261395.9,342244377.2,451704577,462037883.8,458155604.1,668827625.3,532300000,356372288.2,
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60694643.66,229671955.7,123820911.1,113205867,175068516.6,87839128.31,257635717.5,222184549.5,325586827.8,625667609.9,1208299217,850000000,
Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000,600000,10,10,10,50000,1400000,-700000,,1050274.762,,,2425411.898,3370306.526,8859907.539,6210884.354,6122702.143,73809257.56,3097097.254,6544516.789,18990259.63,26063914.2,9622110.237,
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,-38268702.25,11270002.83,12233365.11,40813517.29,127851715.1,111550709.4,88438639.82,21074900.89,23793769.12,62154696.15,53611787.59,70404390.66,113583514.2,39921524.13,42186013.02,95889963.04,-8211493.783,-1564184.906,-286949434.1,-14154569.01,70413220.76,71182310.71,100109748.7,95318134.92,36675065.78,57176113.28,-69760471.38,731805998.3,770536365.6,748096578.5,278591244.1,486389937.9,494586995.6,520918029.5,128840735.9,-6121431.346,413586011.8,292521951.1,
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,-2845168.071,6084486.344,22757439.74,5343631.085,5781443.352,9153812.428,4469041.686,5149252.034,2991566.436,8160415.318,11898718.65,-3827452.803,1285233.02,697850.0651,-4874038.732,-10676567.96,-9980132.279,3602275.009,6200565.764,10925575.5,1497424.054,7300593.947,5976946.527,889074.9126,5183898.81,5644286.559,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36910000,71176400,
Canada,CAN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,1826057132,2273360472,2112292024,3184591221,3723476023,3386185380,2450734869,3371801149,3740150569,5307735854,5813313577,663718071,90047128.36,1999495942,4753734374,1356650952,2848502472,8114665361,6071142242,6026740458,7580601938,2874387248,4776794694,4748859063,8223759965,9319143130,9635109106,11522842174,22742494379,24788755778,66144235753,27710977448,22053021959,7206009808,-741286941.1,25900779626,60293795010,1.20E+11,62162449740,23804168586,28596270782,40131613267,43085229811,
Switzerland,CHE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,642643620.5,777125995.9,1267334792,2122388475,2320291937,405248411.1,2497180494,5544796310,2838789161,1128487634,1706937974,3682699145,4158247960,4372941966,7306214203,9649104419,12426006172,19764423499,9392397947,6785448620,17470863634,1856071978,2664910821,53760772986,48688296543,2990936685,47658570355,21260839588,20620791851,2747598577,
Channel Islands,CHI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,50000000,-1000000,21000000,181000000,244000000,213000000,383000000,401000000,135000000,78000000,144300000,315500000,890500000,967900000,1283500000,661200000,822700000,936100000,1034300000,2582100000,2957000000,4814616000,5271400000,4627817978,8761016218,4860015668,4199763049,2549923142,4307418607,7172719415,6983801371,7298382454,12533639353,15149843109,12887480299,15373153486,22930594193,30323047078,
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,430000000,636000000,1258000000,1659000000,1875000000,2314000000,3194000000,3393000000,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,44237000000,43751000000,38753000000,38399300000,44241000000,49307976629,49456847102,62108043001,1.04E+11,1.24E+11,1.56E+11,1.72E+11,1.31E+11,2.44E+11,2.80E+11,2.53E+11,
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,69057905.41,44779149.89,14653226.12,83312704.49,74745567.41,94661312.41,32752925.42,47473229.35,37526304.23,21741286.37,29158869.28,70746700.38,87510151.14,51704186.99,18494816.62,48114925.54,16305875.03,-230834502,87900032.71,77989253.94,211482185.5,269180619.3,415303614.5,380014112.4,323675947.6,234701641.1,272680081.7,212629136.7,165347467.5,282979933.1,348920761.5,350652855.7,443215533.1,466489597,396030774,358118909,286110463.6,478400215.8,
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,8710528.859,40548470.54,62099933.68,129827990,135391025.4,111440362.7,213821207.6,17667655.87,316229050.2,-90700157.51,115925994.9,92362479.48,-85734446.55,-112831336.8,-14498049.75,29203775.78,5120733.123,-9005687.522,7292420.072,101315910,78335616.3,215105209.4,-15494743.3,158801499.5,73285099.6,601746052.3,336267884.5,86122105.35,243504753.3,59069772.85,189330876.4,20910875.62,740307388.9,537779845.2,652411755.8,525754619.3,
"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,4050415.527,16481632.66,40032269.02,30842951.46,35349296.93,56079518.98,34948545.69,12689672.8,22439698.31,43448956.41,9095236.529,-7125213.161,22551558.22,32753529.69,2739032.536,286054322.1,2990000,125018925.8,72579070.69,79171534.76,32777255.42,538212550.2,165904404.7,77206039.59,331150511.3,323124395.4,-8518132.494,800996241.6,1487693084,2638405260,2525652907,1861554557,2210884010,3055952325,2757934448,
