Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bermuda,BMU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094330000,1165781450,1159195103,1064348743,988034768.2,910226798.8,900357454.4,
Bolivia,BOL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2182590109,2632100970,3243473509,4764087001,4143570000,5006774120,7126366595,7694031347,
Brazil,BRA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73139777858,91349560988,1.21E+11,1.73E+11,1.28E+11,1.82E+11,2.26E+11,2.23E+11,
Barbados,BRB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515550209,1602440250,1699607696,1811005525,1366058119,1506623047,,,
Brunei Darussalam,BRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411802452,1588325382,1991788915,2857682730,2282430795,,,,
Bhutan,BTN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434879698.3,526628507.3,671168127.9,606568117.1,843251940.4,1184678671,1071723510,
Botswana,BWA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2854120088,2780227565,4007384050,5150482643,4646372848,5575852444,7191510613,7918230331,
Central African Republic,CAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20E+11,3.57E+11,3.88E+11,4.18E+11,3.29E+11,4.02E+11,4.61E+11,4.75E+11,
Switzerland,CHE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45E+11,1.62E+11,1.87E+11,2.28E+11,2.05E+11,2.46E+11,3.20E+11,2.96E+11,
