Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bosnia and Herzegovina,BIH,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,,,,,6.37,4.91,4.65,3.68,1.77,1.53,,
Belarus,BLR,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,9.5,,,,,8.86,,,,,,2.22,2.3,2.13,1.8,,
Belize,BLZ,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63,,,11.19,,10.71,11.64,11.35,,,9.57,9.27,9.27,5.94,6.38,11.12,,
Bermuda,BMU,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.38,,,,27.48,,30.17,29.72,27.84,26.07,16.79,,
Bolivia,BOL,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,9.95,9.49,9.31,9.31,9.04,9.06,8.46,8.71,9.25,,5.48,5.57,4.17,4.34,3.93,3.68,5.36,3.68,,
Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.92,18.95,16.54,15.71,13.02,13.26,10.97,13.8,14,15.94,12.31,12.65,10.42,9.98,9.4,7.55,7.09,6.71,6.75,6.66,7.59,7.64,7.86,,
Barbados,BRB,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.36,,,22.77,20.98,21.07,21.26,21.73,,,12.66,14.77,,,,,,
Brunei Darussalam,BRN,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,9.51,9.45,12.39,8.86,5.73,5.64,6.12,2.06,,4.12,,,
Bhutan,BTN,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55,,,,,,14.76,,21.47,21.49,,17.75,,,,,,
Botswana,BWA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,10.47,9.87,9.71,8.94,7.35,7.41,5.15,3.64,,
Central African Republic,CAF,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.36,,13.44,,,,18.3,16.86,,,17.26,,13.62,,,,,,
Canada,CAN,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,,,,3.59,,6.77,5.42,2.04,1.45,1,1.3,1.79,1.48,2.72,1.51,1.46,1.45,1.59,1.58,1.78,0.86,,,
Switzerland,CHE,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,,,8.84,,16.77,5.39,2.03,1.66,1.63,1.38,1.4,1.4,1.58,1.27,1.28,1.74,1.9,1.73,0.99,0,0,,
Channel Islands,CHI,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95,10.94,10.93,10.63,,10.97,10.94,9.96,9,8,6.96,,3.76,3.86,2.18,1.77,1.02,5.98,4.02,,,
China,CHN,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.17,30.29,27.93,,19.76,15.82,15.58,14.46,14.62,14.1,,6.49,6,4.83,4.29,4.68,4.28,4.23,4.04,4.1,,
Cote d'Ivoire,CIV,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.18,,,15.7,,,,,7.22,7.21,8.51,8.54,7.61,7.29,7.23,6.41,6.41,7.34,6.79,,
Cameroon,CMR,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93,14.49,,,,,,13.49,13.9,,,14.45,,12.5,,15.04,,11.93,,
"Congo, Rep.",COG,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.35,,,16.68,,,,17.77,18.11,,,17.29,,14.65,,,,,,
Colombia,COL,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45,10.55,,11.64,11.91,11.19,11.31,,10.68,10.96,10.83,11.08,,9.77,9.28,8.97,8.83,9.1,8.4,8.9,5.6,,
Comoros,COM,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,,8.06,6.17,,
Cape Verde,CPV,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,,10.67,12.16,11.82,11.57,10.2,,
Costa Rica,CRI,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56,,,,4.07,3.7,4.44,4.23,,4.04,4.13,,4.14,,2.43,3.09,,,
Cuba,CUB,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75,,,,8.82,,,,,8.79,9.01,7.78,7.26,9.25,7.35,9.13,8.87,8.65,8.98,,
Curacao,CUW,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,5.05,4.74,4.46,4.12,4.44,6.27,4.01,3.62,3.29,3.13,2.14,3.02,1.99,2.03,2.07,1.84,1.85,1.81,1.77,1.51,1.61,1.09,,
Czech Republic,CZE,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,5.05,4.74,4.46,4.12,4.44,6.27,4.01,3.62,3.29,3.13,2.14,3.02,1.99,2.03,2.07,1.84,1.85,1.81,1.77,1.51,1.61,1.09,,
Germany,DEU,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,5.05,4.74,4.46,4.12,4.44,6.27,4.01,3.62,3.29,3.13,2.14,3.02,1.99,2.03,2.07,1.84,1.85,1.81,1.77,1.51,1.61,1.09,,
Djibouti,DJI,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.72,,,,29.05,,,15.19,,17.57,,
Dominica,DMA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.61,,,15.96,13.82,13.5,14.82,14.2,,,7.78,7.85,,,,8.63,,
Denmark,DNK,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,5.05,4.74,4.46,4.12,4.44,6.27,4.01,3.62,3.29,3.13,2.14,3.02,1.99,2.03,2.07,1.84,1.85,1.81,1.77,1.51,1.61,1.09,,
Dominican Republic,DOM,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.29,,,15.86,8.11,8.52,8.07,8.13,8.61,8.28,5.92,4.93,,6.09,,,
Algeria,DZA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44,,,,16.93,17.26,,,15.16,12.99,11.97,,10.23,9.93,9.85,9.53,8.61,,,,
Ecuador,ECU,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,11.47,11.05,10.95,10.39,10.7,11.11,,,10.67,,8.95,8.69,6.16,5.9,5.14,4.45,5.95,4.1,,
